condition_name	binding_rate	entity_weight
soilMicrobiome	0.028151142134047957	0.010777343064546585
soilMicrobiome	0.027752575241027897	0.16883334517478943
soilMicrobiome	0.026745130646701608	0.01600140705704689
soilMicrobiome	0.026642659588665612	0.000299083098070696
soilMicrobiome	0.02875691729564585	0.0022216730285435915
soilMicrobiome	0.027769293007909496	0.0009633428417146206
soilMicrobiome	0.02360277067841907	0.01288336981087923
humanMicrobiome	0.025711135915142708	1.0
humanMicrobiome	0.025288224812205242	3.0
humanMicrobiome	0.02668567291898176	1.0
humanMicrobiome	0.026138222348188644	1.0
humanMicrobiome	0.027908073533313028	1.0
humanMicrobiome	0.026097457921057443	1.0
humanMicrobiome	0.024476364779176602	1.0
humanMicrobiome	0.027220493977732664	1.0
humanMicrobiome	0.027807693518855914	1.0
humanMicrobiome	0.024538831978981494	1.0
humanMicrobiome	0.026976906927921623	1.0
humanMicrobiome	0.02598275571622272	5.0
humanMicrobiome	0.02656493945626129	1.0
humanMicrobiome	0.026032141654639976	1.0
humanMicrobiome	0.025642539815210183	7.0
humanMicrobiome	0.02654361978762622	1.0
humanMicrobiome	0.027265297588603424	1.0
humanMicrobiome	0.029693145270764155	1.0
humanMicrobiome	0.029298212354049804	1.0
humanMicrobiome	0.02672526259619735	4.0
humanMicrobiome	0.02578678624430333	7.0
humanMicrobiome	0.026241832494537994	4.0
humanMicrobiome	0.026253339767412225	3.0
humanMicrobiome	0.027515494729798154	1.0
humanMicrobiome	0.02622680585059808	4.0
humanMicrobiome	0.026227548036758565	1.0
humanMicrobiome	0.02565763937273976	4.0
humanMicrobiome	0.026297113208692123	19.0
humanMicrobiome	0.025840111715961313	1.0
humanMicrobiome	0.026207493869085108	12.0
humanMicrobiome	0.02657480205633483	24.0
humanMicrobiome	0.026741731933782174	7.0
humanMicrobiome	0.02796805721672526	2.0
humanMicrobiome	0.026590806091305413	1.0
humanMicrobiome	0.0249638651004891	1.0
humanMicrobiome	0.02651513459120246	2.0
humanMicrobiome	0.025550147301293655	1.0
humanMicrobiome	0.025811107102217536	1.0
humanMicrobiome	0.025222575390989453	1.0
humanMicrobiome	0.02558280219568639	1.0
humanMicrobiome	0.025771286018235084	3.0
humanMicrobiome	0.02499110705063735	3.0
humanMicrobiome	0.0271346491560581	2.0
humanMicrobiome	0.025358573410153067	2.0
humanMicrobiome	0.02570716350824116	6.0
humanMicrobiome	0.026988941132099473	8.0
humanMicrobiome	0.025940619439220023	2.0
humanMicrobiome	0.02593875004718362	1.0
humanMicrobiome	0.026676724526251954	11.0
humanMicrobiome	0.029494643644602588	1.0
humanMicrobiome	0.028040711702357127	1.0
humanMicrobiome	0.0275556622271628	1.0
humanMicrobiome	0.028591911552352703	1.0
humanMicrobiome	0.0288306914771422	2.0
humanMicrobiome	0.028524970378400183	1.0
humanMicrobiome	0.02914834947991201	2.0
humanMicrobiome	0.030180890264208837	1.0
humanMicrobiome	0.030614307400887587	1.0
humanMicrobiome	0.03005379466755172	1.0
humanMicrobiome	0.029316433935430236	2.0
humanMicrobiome	0.03035001975986785	1.0
humanMicrobiome	0.029964791370140086	2.0
humanMicrobiome	0.02995256168700125	1.0
humanMicrobiome	0.031876409526184674	1.0
humanMicrobiome	0.03291195151229816	1.0
humanMicrobiome	0.029373667093813467	1.0
humanMicrobiome	0.029686697483307652	1.0
humanMicrobiome	0.03143241605912427	1.0
humanMicrobiome	0.030961381246059124	1.0
humanMicrobiome	0.030744567932593076	1.0
humanMicrobiome	0.03094436427769761	1.0
humanMicrobiome	0.02944356881855976	1.0
humanMicrobiome	0.031008723112820217	1.0
humanMicrobiome	0.027700562157999334	3.0
humanMicrobiome	0.02643705875544925	1.0
humanMicrobiome	0.02744511607224664	14.0
humanMicrobiome	0.02800776162410548	3.0
humanMicrobiome	0.028200201189465195	1.0
humanMicrobiome	0.02720632639228572	1.0
humanMicrobiome	0.02762597461329817	11.0
humanMicrobiome	0.02692667108688854	1.0
humanMicrobiome	0.02814276222885134	1.0
humanMicrobiome	0.026772086918786187	20.0
humanMicrobiome	0.02704253599097509	12.0
humanMicrobiome	0.028133572109480018	6.0
humanMicrobiome	0.02763465908372209	1.0
humanMicrobiome	0.028476248807024086	9.0
humanMicrobiome	0.028390597319052184	2.0
humanMicrobiome	0.028069667961096775	2.0
humanMicrobiome	0.027736529093301782	1.0
humanMicrobiome	0.028044344162272927	5.0
humanMicrobiome	0.026386051312722116	7.0
humanMicrobiome	0.02972589070593985	1.0
humanMicrobiome	0.028271766363536687	1.0
humanMicrobiome	0.02719723120027102	1.0
humanMicrobiome	0.029183954604713264	1.0
humanMicrobiome	0.0276650686559029	1.0
humanMicrobiome	0.02771002525390164	1.0
humanMicrobiome	0.026913248269189435	1.0
humanMicrobiome	0.02765206471086132	1.0
humanMicrobiome	0.028014382886555285	1.0
humanMicrobiome	0.030209712760923078	3.0
humanMicrobiome	0.029345797535181666	1.0
humanMicrobiome	0.029356638550020644	1.0
humanMicrobiome	0.027810120969818462	6.0
humanMicrobiome	0.027196350259433583	1.0
humanMicrobiome	0.026696602410061217	1.0
humanMicrobiome	0.028607817728285773	2.0
humanMicrobiome	0.027830168800866237	1.0
humanMicrobiome	0.028394338856271725	1.0
humanMicrobiome	0.027059981287476723	1.0
humanMicrobiome	0.027041119403474916	16.0
humanMicrobiome	0.02925889075268177	1.0
